hdbscan_final,leiden_target5_final,true_label
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
9,4,natural killer cell
4,0,B cell
2,1,T cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
0,5,macrophage
18,3,macrophage
4,0,B cell
4,0,B cell
4,0,B cell
0,5,macrophage
4,0,B cell
7,2,T cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
2,1,natural killer cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
9,4,natural killer cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
8,6,B cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
7,2,T cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
7,2,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
18,3,macrophage
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
9,4,natural killer cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
3,7,dendritic cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
9,4,natural killer cell
2,1,T cell
4,0,B cell
9,4,natural killer cell
7,2,T cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
18,3,macrophage
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
7,2,T cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
18,3,macrophage
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
9,4,natural killer cell
4,0,B cell
4,0,B cell
7,2,T cell
1,9,B cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
17,3,macrophage
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
18,3,macrophage
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
15,3,macrophage
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
0,5,macrophage
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,B cell
4,0,B cell
4,0,B cell
9,4,natural killer cell
9,4,natural killer cell
9,4,natural killer cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
9,4,natural killer cell
7,2,T cell
7,2,T cell
7,2,T cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
9,4,natural killer cell
4,0,B cell
4,0,B cell
18,3,dendritic cell
4,0,B cell
7,2,T cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
0,5,macrophage
4,0,B cell
4,0,B cell
0,5,macrophage
0,5,macrophage
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
15,3,macrophage
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
7,2,T cell
4,0,B cell
4,0,B cell
0,5,macrophage
4,0,B cell
11,3,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
2,1,T cell
4,0,B cell
4,0,B cell
9,4,natural killer cell
4,0,B cell
7,2,T cell
4,0,B cell
7,2,T cell
18,3,macrophage
4,0,B cell
4,0,B cell
9,4,natural killer cell
4,0,B cell
4,0,B cell
4,0,B cell
17,3,macrophage
4,0,B cell
2,1,T cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
8,6,T cell
4,0,B cell
17,3,macrophage
15,3,macrophage
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
0,5,macrophage
5,8,B cell
7,2,T cell
4,0,B cell
9,4,natural killer cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
8,6,T cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
18,3,macrophage
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
15,3,macrophage
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
9,4,natural killer cell
4,0,B cell
18,3,macrophage
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
5,8,B cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
7,2,T cell
4,0,B cell
4,0,B cell
18,3,macrophage
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
0,5,macrophage
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
14,3,macrophage
7,2,T cell
11,3,B cell
4,0,B cell
6,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
9,4,natural killer cell
4,0,B cell
4,0,B cell
15,3,macrophage
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
0,5,macrophage
7,2,T cell
4,0,B cell
5,8,B cell
1,9,B cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
2,1,T cell
4,0,B cell
15,3,macrophage
9,4,natural killer cell
4,0,B cell
4,0,B cell
15,3,macrophage
4,0,B cell
7,2,T cell
4,0,B cell
12,3,macrophage
2,1,T cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
2,1,T cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
17,3,macrophage
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,B cell
4,0,B cell
4,0,B cell
4,0,B cell
8,6,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
18,3,macrophage
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
2,1,T cell
4,0,B cell
4,0,B cell
9,4,natural killer cell
4,0,B cell
8,6,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
12,3,macrophage
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
18,3,T cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
9,4,natural killer cell
2,1,T cell
8,6,T cell
4,0,B cell
2,1,T cell
4,0,B cell
18,3,macrophage
4,0,B cell
9,4,B cell
9,4,natural killer cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
3,7,dendritic cell
4,0,B cell
4,0,B cell
8,6,T cell
7,2,T cell
18,3,macrophage
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
12,3,macrophage
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
17,3,macrophage
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
0,5,macrophage
4,0,B cell
4,0,B cell
18,3,macrophage
4,0,B cell
4,0,B cell
14,3,macrophage
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
0,5,macrophage
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
0,5,macrophage
4,0,B cell
4,0,B cell
4,0,B cell
3,7,dendritic cell
9,4,natural killer cell
8,6,T cell
4,0,B cell
4,0,B cell
4,0,B cell
9,4,natural killer cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
0,5,macrophage
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
15,3,macrophage
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
0,5,macrophage
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
8,6,T cell
4,0,B cell
4,0,B cell
18,3,macrophage
4,0,B cell
4,0,B cell
15,3,macrophage
4,0,B cell
4,0,B cell
0,5,macrophage
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
11,3,B cell
9,4,natural killer cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
18,3,macrophage
7,2,T cell
8,6,T cell
0,5,B cell
9,4,natural killer cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
1,9,B cell
0,5,macrophage
7,2,T cell
7,2,T cell
18,3,macrophage
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
7,2,T cell
7,2,T cell
4,0,B cell
2,1,T cell
14,3,macrophage
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
18,3,macrophage
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
1,9,B cell
4,0,B cell
8,6,T cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
14,3,macrophage
2,1,T cell
4,0,B cell
4,0,B cell
2,1,T cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
8,6,T cell
4,0,B cell
18,3,macrophage
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
15,3,macrophage
4,0,B cell
2,1,T cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
7,2,T cell
4,0,B cell
18,3,macrophage
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
7,2,T cell
17,3,macrophage
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
0,5,macrophage
7,2,T cell
4,0,B cell
10,3,macrophage
4,0,B cell
4,0,B cell
4,0,B cell
10,3,macrophage
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
17,3,macrophage
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
0,5,macrophage
4,0,B cell
10,3,macrophage
4,0,B cell
4,0,B cell
4,0,B cell
9,4,natural killer cell
0,5,macrophage
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
1,9,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
15,3,macrophage
4,0,B cell
7,2,T cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
0,5,macrophage
7,2,T cell
7,2,T cell
4,0,B cell
2,1,T cell
4,0,B cell
9,4,natural killer cell
0,5,macrophage
4,0,B cell
4,0,B cell
2,1,T cell
7,2,T cell
10,3,macrophage
7,2,B cell
4,0,B cell
1,9,B cell
4,0,B cell
7,2,T cell
4,0,B cell
7,2,T cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
5,8,B cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
13,3,macrophage
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
5,8,B cell
4,0,B cell
4,0,B cell
4,0,B cell
18,3,macrophage
4,0,B cell
4,0,B cell
4,0,B cell
15,3,macrophage
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
14,3,macrophage
4,0,B cell
12,3,macrophage
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
18,3,macrophage
2,1,T cell
2,1,T cell
4,0,B cell
4,0,B cell
18,3,macrophage
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
2,1,T cell
2,1,T cell
4,0,B cell
4,0,B cell
8,6,T cell
2,1,T cell
7,2,T cell
9,4,natural killer cell
8,6,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
13,3,B cell
14,3,macrophage
17,3,macrophage
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
