hdbscan_final,leiden_target13_final,true_label
6,4,delta
7,7,delta
5,1,beta
5,1,beta
0,5,endothelial
5,1,beta
6,4,delta
5,0,beta
7,7,delta
5,8,beta
6,4,alpha
4,2,ductal
5,0,beta
2,9,quiescent_stellate
3,3,ductal
5,0,beta
0,5,endothelial
4,2,ductal
5,1,beta
6,4,beta
5,1,beta
5,1,beta
5,0,beta
5,0,beta
5,0,beta
0,5,endothelial
5,1,beta
3,6,ductal
5,0,beta
0,5,endothelial
5,0,beta
5,0,beta
1,10,macrophage
5,1,beta
6,4,delta
5,8,beta
5,1,beta
5,0,beta
5,0,beta
5,1,beta
3,3,ductal
5,1,beta
5,1,beta
5,0,beta
8,7,gamma
6,4,beta
0,5,endothelial
1,10,macrophage
0,5,endothelial
5,1,beta
5,1,beta
3,6,ductal
0,5,endothelial
5,1,beta
5,1,beta
5,1,beta
6,4,delta
5,0,beta
2,9,quiescent_stellate
6,4,delta
5,0,beta
5,0,beta
5,1,beta
2,9,quiescent_stellate
7,7,delta
4,2,ductal
3,3,ductal
5,0,beta
5,0,beta
0,5,endothelial
5,1,beta
5,1,beta
6,4,delta
2,9,quiescent_stellate
6,4,gamma
6,4,delta
5,0,beta
7,7,delta
5,1,beta
3,6,ductal
4,2,ductal
5,1,beta
5,1,beta
6,4,delta
5,0,beta
0,5,endothelial
6,4,delta
7,7,delta
5,1,beta
7,7,delta
5,8,alpha
2,9,quiescent_stellate
5,1,beta
6,4,gamma
0,5,endothelial
6,4,delta
4,2,ductal
3,3,ductal
5,0,beta
7,7,delta
5,0,beta
7,7,delta
5,0,beta
4,2,ductal
0,5,endothelial
0,5,endothelial
3,3,ductal
5,8,alpha
6,4,delta
7,7,delta
5,1,beta
5,0,beta
0,5,endothelial
5,1,beta
5,1,beta
2,9,activated_stellate
6,4,delta
4,2,ductal
1,10,macrophage
5,0,beta
7,7,delta
5,0,beta
5,0,beta
5,0,beta
5,1,beta
3,3,ductal
4,2,ductal
3,3,ductal
4,2,ductal
4,2,ductal
3,3,ductal
3,3,ductal
4,2,ductal
2,9,quiescent_stellate
6,4,delta
0,5,endothelial
3,3,ductal
0,5,endothelial
5,0,beta
5,1,beta
3,6,ductal
6,4,delta
6,4,alpha
0,5,endothelial
5,1,beta
4,2,ductal
5,0,beta
4,2,ductal
3,6,ductal
3,6,ductal
4,2,ductal
3,3,ductal
4,2,ductal
3,6,ductal
4,2,ductal
5,0,beta
3,6,ductal
6,4,gamma
7,7,delta
5,1,beta
5,0,beta
7,7,delta
3,6,ductal
6,4,delta
2,9,quiescent_stellate
3,6,ductal
3,6,ductal
0,5,endothelial
3,3,ductal
5,0,beta
3,6,ductal
4,2,ductal
4,2,ductal
3,6,ductal
4,2,ductal
6,4,delta
5,8,beta
5,0,beta
4,2,ductal
0,5,endothelial
0,5,endothelial
6,4,delta
7,7,delta
3,6,ductal
5,0,beta
5,1,beta
5,1,beta
7,7,delta
5,0,beta
5,8,beta
5,8,beta
0,5,endothelial
0,5,endothelial
4,2,ductal
2,9,quiescent_stellate
5,0,beta
5,1,beta
5,0,beta
5,0,beta
5,1,beta
3,3,ductal
4,2,ductal
5,0,beta
5,0,beta
4,2,ductal
5,8,beta
5,8,beta
3,3,ductal
3,6,ductal
4,2,ductal
4,2,ductal
5,1,beta
5,0,beta
4,2,ductal
5,1,beta
2,9,activated_stellate
4,11,immune_other
5,8,beta
5,0,beta
3,3,ductal
5,0,beta
5,0,beta
2,9,quiescent_stellate
4,2,ductal
3,3,ductal
7,7,delta
4,2,ductal
4,2,ductal
3,3,ductal
5,1,beta
5,0,beta
5,1,beta
2,9,quiescent_stellate
0,5,endothelial
1,10,macrophage
5,8,beta
3,3,ductal
5,0,beta
0,5,endothelial
5,1,beta
6,4,gamma
0,5,endothelial
5,8,beta
6,4,beta
5,0,beta
5,1,beta
4,11,T_cell
5,0,beta
5,0,beta
5,0,beta
5,1,beta
6,4,delta
5,0,beta
0,5,endothelial
5,1,beta
5,0,beta
3,6,ductal
6,4,delta
6,4,delta
5,1,beta
7,7,delta
5,1,beta
0,5,endothelial
6,4,delta
3,6,ductal
0,5,endothelial
5,8,beta
5,0,beta
5,0,beta
5,8,beta
6,4,delta
3,6,ductal
5,8,beta
7,7,delta
5,1,beta
6,4,beta
5,0,beta
5,1,beta
5,8,beta
5,0,beta
5,1,beta
7,7,delta
4,2,ductal
5,1,beta
5,0,beta
2,9,quiescent_stellate
3,3,ductal
7,7,delta
5,1,beta
5,1,beta
5,0,beta
3,6,ductal
5,0,beta
3,3,ductal
3,6,ductal
4,2,ductal
5,1,beta
5,8,beta
4,2,ductal
6,4,delta
0,5,endothelial
3,3,ductal
5,1,beta
3,6,ductal
3,3,ductal
6,4,delta
2,9,quiescent_stellate
0,5,endothelial
5,1,beta
5,0,beta
7,7,delta
3,3,ductal
3,6,ductal
5,8,beta
7,7,delta
5,1,beta
4,2,ductal
4,2,ductal
5,1,beta
5,1,beta
5,1,beta
0,5,endothelial
3,6,ductal
5,1,beta
1,10,macrophage
5,1,beta
8,4,beta
3,3,ductal
5,8,beta
5,0,beta
5,1,beta
5,0,beta
5,0,beta
5,0,beta
3,3,ductal
5,0,beta
5,1,beta
4,11,immune_other
5,0,beta
1,10,macrophage
2,9,quiescent_stellate
3,3,ductal
5,1,beta
5,1,beta
3,3,ductal
6,4,delta
4,2,ductal
5,0,beta
5,1,beta
5,0,beta
5,1,beta
4,2,ductal
3,6,ductal
2,9,activated_stellate
3,3,ductal
3,3,ductal
5,0,beta
4,11,B_cell
3,3,ductal
1,10,macrophage
6,4,delta
5,0,beta
1,10,macrophage
5,0,beta
5,0,beta
3,3,ductal
4,2,ductal
4,11,T_cell
4,2,ductal
4,2,ductal
5,0,beta
3,3,ductal
3,6,ductal
3,3,ductal
3,3,ductal
5,1,beta
3,3,ductal
4,2,ductal
3,3,ductal
5,0,beta
3,3,ductal
4,2,ductal
6,4,delta
7,7,delta
3,3,ductal
0,5,endothelial
3,3,ductal
4,11,T_cell
4,2,ductal
3,3,ductal
0,5,endothelial
3,3,ductal
